trajectory,X_index1,x_index2,x1,y1,x2,y2,A,B,duration,length
227,2197,2269,549,4317.722794141489,567,4518.494479265883,-1805.8136021525365,11.153982506910793,18,200.77168512439312
227,2269,2315,567,4342.463661417915,578.5,4576.83182028264,-7212.905562608093,20.379839901280437,11.5,234.36815886472505
227,2315,2346,578.5,4329.495483889963,586.25,4573.818883890564,-13908.064116155047,31.5256000000778,7.75,244.3234000006014
227,2346,2410,586.25,4396.123772602526,602.25,4451.305694946062,2374.2236492338634,3.4488701464710654,16,55.181922343536826
227,2410,2472,602.25,4623.88502918038,617.75,4516.959461655637,8778.46070929502,-6.898423711273788,15.5,-106.9255675247432
227,2472,2595,617.75,4679.81930894359,648.5,4368.4345548454885,10935.36180793877,-10.126333466604907,30.75,-311.38475409810144
227,2595,2774,648.5,4487.14027374179,693.25,4685.567071494369,1611.614500723967,4.434118385532495,44.75,198.42679775257875
227,2774,2789,693.25,4433.350483385268,697,4493.517733384995,-6689.56846656436,16.04459999992734,3.75,60.167249999727574
227,2789,2860,697,4703.105321595995,714.75,4515.353754928483,12075.659798624494,-10.577553051690817,17.75,-187.75156666751172
227,2860,2930,714.75,4630.93749457103,732.25,4180.346983854033,23034.341353712338,-25.748029183828343,17.5,-450.5905107169965
227,2930,3096,732.25,4301.513449677632,773.75,4596.16496911056,-897.4883600756629,7.100036612841645,41.5,294.6515194329286
227,3096,3146,773.75,4472.120929405493,786.25,4549.6995632584485,-329.99650609243696,6.20629070823642,12.5,77.57863385295514
392,3147,3166,0,-83.0952894736842,4.75,49.74954385964912,-83.0952894736842,27.967333333333332,4.75,132.84483333333333
392,3166,3236,4.75,91.91638712273641,22.25,-203.27877515527936,172.04078831248356,-16.86829498731519,17.5,-295.1951622780158
392,3236,3285,22.25,105.58455673469433,34.5,8.718211734693227,281.52546908163515,-7.9074567346939695,12.25,-96.8663450000011
392,3285,3357,34.5,-105.89904490106515,52.5,-55.18506651017242,-203.1008368169429,2.817443243938485,18,50.713978390892734
392,3357,3437,52.5,116.54478981481509,72.5,-174.6736958860762,880.9933147796543,-14.560924285044557,20,-291.2184857008913
392,3437,3476,72.5,123.48867948717998,82.25,-190.98608367071438,2461.89076450742,-32.25382186234814,9.75,-314.47476315789436
392,3476,3507,82.25,108.3074576612803,90,61.12424516127783,609.0583258064679,-6.088156451613223,7.75,-47.18321250000247
392,3507,3586,90,-35.649964873417275,109.75,95.2653485881209,-632.2260768500474,6.628623466407001,19.75,130.91531346153818
392,3586,3601,109.75,-184.33413333332282,113.5,-22.606276190469544,-4917.5694190474915,43.12742857142751,3.75,161.72785714285328
392,3601,3633,113.5,204.77928409091237,121.5,-282.3642056451581,7116.127544721408,-60.892936217008774,8,-487.1434897360705
392,3633,3758,121.5,87.548689904762,152.75,-50.11839458064571,622.7983143840275,-4.405346703533049,31.25,-137.6670844854077
392,3758,3860,152.75,133.7587846944618,178.25,97.66458590565304,349.97011273330645,-1.415458776031716,25.5,-36.09419878880877
392,3860,4012,178.25,225.9800892672791,216.25,296.3926645172535,-104.31047753029813,1.8529625065782735,38,70.41257524997437
392,4012,4136,216.25,438.50492503223813,247.25,178.22128756882694,2254.193202498777,-8.396246369787463,31,-260.2836374634112
392,4136,4178,247.25,353.03722037652733,257.75,-135.79615795587597,11863.89939110858,-46.55555984118121,10.5,-488.8333783324033
392,4178,4233,257.75,152.67112207797118,271.5,41.492058585916766,2236.7732031744813,-8.085750072149409,13.75,-111.17906349205441
392,4233,4258,271.5,372.04693846197915,277.75,-34.495349999531754,18032.24394923002,-65.04676615384176,6.25,-406.5422884615109
392,4258,4319,277.75,245.1784955049843,293,380.23352131144156,-2214.594187625737,8.856067265997197,15.25,135.05502580645725
392,4319,4407,293,466.1173664452285,315,332.1705791535262,2250.0450335574474,-6.08849033144102,22,-133.94678729170232
392,4407,4442,315,49.24603333405321,323.75,532.6788470595566,-17354.335260784002,55.249464425771606,8.75,483.43281372550337
392,4442,4503,323.75,191.1095605499986,339,433.4195540984192,-4953.012433633693,15.88917990481449,15.25,242.3099935484206
392,4503,4601,339,195.7918639456666,363.5,415.780695560793,-2848.135234728939,8.979135984290872,24.5,219.9888316151264
392,4601,4669,363.5,571.6426892581558,380.5,431.70475285330076,3563.8450353266658,-8.231643317932628,17,-139.937936404855
392,4669,4687,380.5,195.21336842039818,385,406.65999999935957,-17683.77403508954,46.98814035088026,4.5,211.4466315789614
392,4687,4692,385,309.9571999929831,386.25,111.16969999280263,61536.50720005036,-159.03000000014902,1.25,-198.78750000018044
392,4692,4701,386.25,-149.0410444502195,388.5,442.40055554980063,-101679.84904445366,262.86293333334226,2.25,591.4416000000201
392,4701,4715,388.5,414.2707142860454,392,-152.53020879087853,63329.173175824944,-161.943120879122,3.5,-566.8009230769239
392,4715,4790,392,204.62486140350393,410.75,3.0674396396207158,4418.518692413744,-10.74972916074041,18.75,-201.5574217638832
392,4790,4911,410.75,193.26875613065863,441,87.98034793393504,1622.9287120580689,-3.4806085354288747,30.25,-105.2884081967236
392,4911,4945,441,270.69905714282504,449.5,38.77263636361931,12303.587476393413,-27.285461268141923,8.5,-231.92642077920573
392,4945,4971,449.5,488.46042734869843,456,-136.004141540172,43672.587152817905,-96.07147213675017,6.5,-624.4645688888704
392,4971,5136,456,153.06101087990692,497.25,207.70424508502686,-450.99510542396354,1.3246844655786634,41.25,54.64323420511994
392,5136,5161,497.25,27.55544923083289,503.5,253.13543000003483,-17919.587820766978,36.09279692307252,6.25,225.57998076920194
392,5161,5224,503.5,74.116327876985,519.25,-32.444080389140254,3480.666522289309,-6.765740207373036,15.75,-106.56040826612525
392,5224,5284,519.25,164.34605956282792,534.25,138.28068418078692,1066.6424707044816,-1.7376916921360688,15,-26.065375382040997
392,5284,5297,534.25,-103.6426263731737,537.5,50.433730769673275,-25431.425335162592,47.40810989010654,3.25,154.07635714284697
392,5297,5394,537.5,185.3091138229547,561.75,52.03634213925989,3139.293228461546,-5.495784399327611,24.25,-133.27277168369483
392,5394,5466,561.75,213.07288698611228,579.75,-35.4308274649884,7968.459642147539,-13.805761913950025,18,-248.50371445110068
392,5466,5551,579.75,92.60262380300901,601,-70.87521008403382,4552.662585968335,-7.693074535860847,21.25,-163.47783388704283
392,5551,5754,601,128.03632657201155,651.75,89.43867019460453,585.1238434749006,-0.7605449532493994,50.75,-38.59765637740702
392,5754,5809,651.75,-114.44343051957912,665.5,226.35989090898693,-16268.520866233548,24.785696103895617,13.75,340.80332142856605
392,5809,5955,665.5,55.49423595191638,702,284.12043665566125,-4113.019094687606,6.2637315261300115,36.5,228.62620070374487
392,5955,5969,702,402.7094857181655,705.5,2227.4625934099895,-365590.6281141919,521.3580307691026,3.5,1824.753107691824
392,5969,5981,705.5,2452.83155136148,708.5,3895.4188940188615,-336795.625196906,480.8624475524698,3,1442.5873426573817
392,5981,5995,708.5,3751.6976000987925,712,6051.754307793337,-461845.495943203,657.1590593412869,3.5,2300.0567076945445
392,5995,6018,712,6364.346478247346,717.75,5395.5677509760135,126324.42540297678,-168.4832569167548,5.75,-968.7787272713322
392,6018,6072,717.75,5003.340029631732,731.25,4943.57547868763,8180.821988159901,-4.427003773637295,13.5,-59.764550944102666
392,6072,6098,731.25,4649.328264885677,737.75,4816.643793773561,-14173.668735001644,25.740850598136504,6.5,167.31552888788428
392,6098,6114,737.75,5177.232734998979,741.75,4366.7708997029695,154656.78748240753,-202.61545882400344,4,-810.4618352960097
392,6114,6176,741.75,4149.346000000698,757.25,3994.2673114764157,11570.611626638552,-10.005076678985985,15.5,-155.07868852428237
392,6176,6186,757.25,3774.7654005218064,759.75,3228.291400521586,169301.74000059185,-218.58960000009247,2.5,-546.4740000002203
392,6186,6243,759.75,3397.2998191119877,774,3566.178080195008,-5606.577995472177,11.851106040913676,14.25,168.87826108302033
392,6243,6251,774,3316.726083769696,776,3101.4644647212262,86622.9726555234,-107.63080952422959,2,-215.26161904846958
392,6251,6292,776,3427.2844564562843,786.25,3387.8127207419134,6415.58366761255,-3.8509010453044663,10.25,-39.47173571437088
570,6293,6365,0,-25.004347031963484,18,94.22193427230047,-25.004347031963484,6.623682294681331,18,119.22628130426395
570,6365,6538,18,-50.56021148096461,61.25,7.977539521441017,-74.92274369005828,1.353474011616315,43.25,58.53775100240563
570,6538,6557,61.25,251.35054210525686,66,-135.7578245614077,5243.011059649081,-81.49649824561347,4.75,-387.10836666666455
570,6557,6568,66,-288.5924545454891,68.75,271.1139454544991,-13721.546054545217,203.52959999999587,2.75,559.7063999999882
570,6568,6816,68.75,-52.33056432180328,130.75,57.71094136084622,-174.35239521990255,1.7748629948814438,62,110.0415056826495
570,6816,6848,130.75,-64.40442613640221,138.75,-161.54232056455453,1523.1930359237092,-12.142236803519017,8,-97.13789442815232
570,6848,6939,138.75,62.59869947443893,161.5,70.84448498168592,12.308469182987503,0.362452110208659,22.75,8.245785507246993
570,6939,6966,161.5,113.4051798942437,168.25,-291.32142450135325,9796.863936914828,-59.95949694749588,6.75,-404.72660439559695
570,6966,7002,168.25,24.416081081072747,177.25,35.860999999990185,-189.54031981980017,1.2716576576574914,9,11.444918918917438
570,7002,7018,177.25,-279.7022867647065,181.25,292.97472500000003,-25656.45237058822,143.16925294117638,4,572.6770117647065
570,7018,7235,181.25,17.047500528477656,235.5,146.94461520737423,-416.940555426361,2.394416860440489,54.25,129.89711467889657
570,7235,7529,235.5,5.636026449900896,309,224.95650579276105,-697.0846930772228,2.9839520999028606,73.5,219.32047934286015
570,7529,7749,309,156.3175775401056,364,149.54671855541608,194.3574943813612,-0.1231065269943547,55,-6.770858984689511
570,7749,7871,364,342.12564334265244,394.5,9.125304701254208,4316.293619259668,-10.918043889881911,30.5,-333.00033864139823
570,7871,7947,394.5,156.9698366370542,413.5,111.49150105263004,1101.2436991662805,-2.3935966097065307,19,-45.478335584424144
570,7947,8007,413.5,-49.0308016394747,428.5,240.30252372868017,-8024.986137621598,19.28888835787696,15,289.3333253681549
570,8007,8086,428.5,130.87911107596256,448.25,159.20796299903918,-483.7493977361054,1.4343722492697035,19.75,28.328851923076627
570,8086,8124,448.25,325.161550607525,457.75,-133.33574253175902,21958.994355837363,-48.26287296202976,9.5,-458.497293139284
570,8124,8305,457.75,130.2978535608093,503,139.4698147329758,37.514091647898155,0.20269527452301722,45.25,9.171961172166505
570,8305,8358,503,5.499895178107181,516.25,155.1836088533155,-5676.832782454338,11.296884050959134,13.25,149.6837136752083
570,8358,8366,516.25,297.2175832807552,518.25,1837.4396785186836,-397272.6107500167,770.1110476189781,2,1540.2220952379284
570,8366,8389,518.25,1710.8363586941123,524,1289.9230632396866,39647.93468378188,-73.20231225294312,5.75,-420.9132954544257
570,8389,8395,524,1354.1307621138985,525.5,2666.8709335412714,-457229.76912318636,875.1601142849241,1.5,1312.7401714273728
570,8395,8403,525.5,3015.2436667205766,527.5,4225.665285769675,-315023.0367384411,605.2108095245702,2,1210.4216190490988
810,8404,8490,0,52.00131114675218,21.5,-100.77395376196989,52.00131114675218,-7.105826274824283,21.5,-152.77526490872208
810,8490,8614,21.5,84.74023780645162,52.5,-67.08007907159717,190.0349737057435,-4.897429576711251,31,-151.8203168780488
810,8614,8691,52.5,103.07268831168903,71.75,-186.49452221462707,892.8014442925512,-15.042452494873565,19.25,-289.5672105263161
810,8691,8734,71.75,45.59958350951297,82.5,-109.13175415282421,1078.3413023255785,-14.39361280579882,10.75,-154.73133766233718
810,8734,8768,82.5,102.55837983193305,91,-118.44725133689826,2247.613035294122,-26.00066249045077,8.5,-221.00563116883131
810,8768,8842,91,8.638286486486493,109.5,71.63192484265102,-301.22231299518745,3.405061532765648,18.5,62.993638356164524
810,8842,8873,109.5,-123.28812500000004,117.25,126.04619999999886,-3646.1408459677223,32.172170967741756,7.75,249.3343249999989
810,8873,8917,117.25,-190.88812424242496,128.25,199.22901374207322,-4349.182163213557,35.46519436222714,11,390.1171379844982
810,8917,8964,128.25,35.23326861701025,140,-103.77780203516454,1552.5243163737264,-11.830729417206364,11.75,-139.0110706521748
810,8964,8982,140,245.68213450290204,144.5,-232.43191503269736,15120.341453388215,-106.24756656346652,4.5,-478.1140495355994
810,8982,9011,144.5,33.304062068962594,151.75,-83.00920935960903,2351.547885714279,-16.043209852216723,7.25,-116.31327142857162
810,9011,9086,151.75,150.41378701754547,170.5,-9.623916396401,1445.6522666477513,-8.53534418207714,18.75,-160.03770341394647
810,9086,9117,170.5,189.40169758058528,178.25,-93.33047741941209,6409.5095475805165,-36.48157096774153,7.75,-282.73217499999737
810,9117,9350,178.25,132.90778309673317,236.5,330.4586498076093,-471.6148261944885,3.3914311881695465,58.25,197.5508667108761
810,9350,9414,236.5,117.8519423077721,252.5,236.58986904768494,-1637.2430373165635,7.421120421244548,16,118.73792673991284
810,9414,9434,252.5,22.758099999983642,257.5,-116.55600526316721,7058.120415789095,-27.862821052630146,5,-139.31410526315085
810,9434,9536,257.5,144.19061241195996,283,122.13157348089933,366.9436525981603,-0.8650603502376714,25.5,-22.059038931060627
810,9536,9560,283,368.280720001243,289,124.30878260995087,11875.623766957158,-40.66198956521525,6,-243.97193739129216
810,9560,9663,289,348.40728790143504,314.75,348.88623586523676,343.0319107543009,0.01859992092433953,25.75,0.47894796380171556
810,9663,9672,314.75,133.69846666803642,317,-33.502333331955015,23523.23260000017,-74.31146666666285,2.25,-167.20079999999143
810,9672,9699,317,288.10471693135605,323.75,372.3989971512201,-3670.604443023741,12.488041514053934,6.75,84.29428021986405
810,9699,9709,323.75,72.29405454379867,326.25,36.68793333166741,4683.286751514782,-14.242448484852458,2.5,-35.60612121213126
810,9709,9760,326.25,282.3830822027244,339,379.9498345104739,-2214.177932730864,7.652294298647015,12.75,97.56675230774954
810,9760,9771,339,135.81163636443307,341.75,300.42603636442436,-20156.654399997933,59.85978181817807,2.75,164.6143999999913
810,9771,9809,341.75,40.52478542521021,351.25,421.4550640114867,-13662.94076266533,40.09792406171336,9.5,380.9302785862765
810,9809,9859,351.25,176.45771529418744,363.75,404.9136840817109,-6243.155007635241,18.27647750300193,12.5,228.4559687875235
810,9859,9929,363.75,537.5893818912264,381.25,352.1382881986319,4392.322829358723,-10.597205353862533,17.5,-185.45109369259444
